"WHO region","Year","Number of deaths due to HIV/AIDS"
"Global"," 2020","680 000 [480 000-1 000 000]"
"Global"," 2019","720 000 [510 000-1 100 000]"
"Global"," 2018","750 000 [530 000-1 100 000]"
"Global"," 2017","800 000 [570 000-1 200 000]"
"Global"," 2016","850 000 [600 000-1 200 000]"
"Global"," 2015","900 000 [640 000-1 300 000]"
"Global"," 2014","950 000 [670 000-1 400 000]"
"Global"," 2013","1 000 000 [720 000-1 500 000]"
"Global"," 2012","1 100 000 [790 000-1 600 000]"
"Global"," 2011","1 200 000 [840 000-1 800 000]"
"Global"," 2010","1 300 000 [910 000-1 900 000]"
"Global"," 2009","1 400 000 [980 000-2 000 000]"
"Global"," 2008","1 500 000 [1 100 000-2 300 000]"
"Global"," 2007","1 700 000 [1 200 000-2 500 000]"
"Global"," 2006","1 800 000 [1 300 000-2 700 000]"
"Global"," 2005","1 900 000 [1 300 000-2 700 000]"
"Global"," 2004","1 900 000 [1 300 000-2 700 000]"
"Global"," 2003","1 800 000 [1 300 000-2 700 000]"
"Global"," 2002","1 700 000 [1 200 000-2 500 000]"
"Global"," 2001","1 600 000 [1 100 000-2 400 000]"
"Global"," 2000","1 500 000 [1 100 000-2 200 000]"
"Global"," 1999","1 400 000 [960 000-2 000 000]"
"Global"," 1998","1 200 000 [870 000-1 800 000]"
"Global"," 1997","1 100 000 [790 000-1 600 000]"
"Global"," 1996","1 000 000 [700 000-1 500 000]"
"Global"," 1995","870 000 [610 000-1 300 000]"
"Global"," 1994","750 000 [520 000-1 100 000]"
"Global"," 1993","620 000 [440 000-900 000]"
"Global"," 1992","510 000 [360 000-740 000]"
"Global"," 1991","410 000 [290 000-590 000]"
"Global"," 1990","320 000 [220 000-460 000]"
"Africa"," 2020","460 000 [320 000-680 000]"
"Africa"," 2019","480 000 [340 000-700 000]"
"Africa"," 2018","500 000 [360 000-750 000]"
"Africa"," 2017","530 000 [380 000-780 000]"
"Africa"," 2016","550 000 [390 000-820 000]"
"Africa"," 2015","590 000 [420 000-870 000]"
"Africa"," 2014","620 000 [450 000-930 000]"
"Africa"," 2013","670 000 [480 000-1 000 000]"
"Africa"," 2012","740 000 [530 000-1 100 000]"
"Africa"," 2011","800 000 [580 000-1 200 000]"
"Africa"," 2010","870 000 [630 000-1 300 000]"
"Africa"," 2009","970 000 [690 000-1 400 000]"
"Africa"," 2008","1 100 000 [770 000-1 600 000]"
"Africa"," 2007","1 200 000 [860 000-1 800 000]"
"Africa"," 2006","1 300 000 [930 000-1 900 000]"
"Africa"," 2005","1 400 000 [960 000-2 000 000]"
"Africa"," 2004","1 400 000 [970 000-2 000 000]"
"Africa"," 2003","1 300 000 [950 000-2 000 000]"
"Africa"," 2002","1 300 000 [910 000-1 900 000]"
"Africa"," 2001","1 200 000 [860 000-1 800 000]"
"Africa"," 2000","1 100 000 [800 000-1 700 000]"
"Africa"," 1999","1 000 000 [740 000-1 500 000]"
"Africa"," 1998","950 000 [670 000-1 400 000]"
"Africa"," 1997","850 000 [600 000-1 200 000]"
"Africa"," 1996","750 000 [530 000-1 100 000]"
"Africa"," 1995","650 000 [460 000-950 000]"
"Africa"," 1994","550 000 [390 000-810 000]"
"Africa"," 1993","460 000 [330 000-680 000]"
"Africa"," 1992","380 000 [270 000-560 000]"
